,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,chokurdakh,RU,70.6333,147.9167,33.4,77,0,8.95,clear sky
123,paramonga,PE,-10.6667,-77.8333,68.68,84,83,6.62,broken clouds
124,soyo,AO,-6.1349,12.3689,84.25,72,100,11.14,overcast clouds
125,dok kham tai,TH,19.1624,99.9934,80.38,77,70,3.58,broken clouds
126,kokstad,ZA,-30.5472,29.4241,59.94,39,83,1.23,broken clouds
127,cabo san lucas,MX,22.8909,-109.9124,87.4,44,38,10.11,scattered clouds
128,new norfolk,AU,-42.7826,147.0587,43.57,67,79,3.0,broken clouds
129,khatanga,RU,71.9667,102.5,21.38,92,90,5.21,overcast clouds
130,thompson,CA,55.7435,-97.8558,42.96,39,20,2.3,few clouds
131,saskylakh,RU,71.9167,114.0833,30.18,86,100,7.67,overcast clouds
132,richards bay,ZA,-28.783,32.0377,72.19,59,5,12.35,clear sky
133,narsaq,GL,60.9167,-46.05,53.82,52,0,2.53,clear sky
134,husavik,IS,66.0449,-17.3389,66.11,42,10,7.09,clear sky
135,bocanda,CI,7.0626,-4.4995,92.66,48,67,3.15,broken clouds
136,avarua,CK,-21.2078,-159.775,80.65,89,40,10.36,light rain
137,bonthe,SL,7.5264,-12.505,87.13,65,34,11.81,scattered clouds
138,carnarvon,AU,-24.8667,113.6333,66.27,77,68,3.44,broken clouds
139,high level,CA,58.5169,-117.136,50.11,81,75,3.67,broken clouds
140,jamestown,US,42.097,-79.2353,63.72,70,20,1.99,few clouds
141,port-gentil,GA,-0.7193,8.7815,84.16,79,75,17.27,broken clouds
142,kakching,IN,24.4833,93.9833,70.45,91,95,1.99,overcast clouds
143,teya,RU,60.3778,92.6267,47.77,70,100,12.1,overcast clouds
144,ibra,OM,22.6906,58.5334,100.9,12,40,10.0,scattered clouds
145,beloha,MG,-25.1667,45.05,69.22,69,4,7.83,clear sky
146,lebu,CL,-37.6167,-73.65,57.02,97,100,15.3,overcast clouds
147,ancud,CL,-41.8697,-73.8203,51.42,79,2,22.66,light rain
148,buala,SB,-8.145,159.5921,78.39,86,100,9.44,moderate rain
149,kuressaare,EE,58.2481,22.5039,56.95,76,33,5.01,scattered clouds
150,pangody,RU,65.85,74.4859,40.28,41,100,14.99,overcast clouds
151,bambanglipuro,ID,-7.95,110.2833,77.67,90,22,7.09,few clouds
152,bowen,AU,-20.0167,148.2333,59.22,80,3,6.85,clear sky
153,hamilton,US,39.1834,-84.5333,74.88,87,40,1.01,scattered clouds
154,anzio,IT,41.4853,12.6179,79.02,50,20,9.82,few clouds
155,caninde,BR,-4.3589,-39.3117,89.78,42,10,11.23,clear sky
156,cine,TR,37.6117,28.0614,89.01,26,0,10.87,clear sky
157,jalu,LY,29.0331,21.5482,99.84,9,15,14.79,few clouds
158,mount gambier,AU,-37.8333,140.7667,48.11,93,40,8.05,scattered clouds
159,am timan,TD,11.0297,20.2827,94.33,30,33,6.08,scattered clouds
160,nador,MA,35.174,-2.9287,68.07,94,75,8.01,broken clouds
161,uthal,PK,25.8072,66.6219,87.53,71,5,13.24,clear sky
162,kijang,KR,35.2442,129.2139,65.93,64,0,4.54,clear sky
163,pevek,RU,69.7008,170.3133,33.53,66,43,3.47,scattered clouds
164,sept-iles,CA,50.2001,-66.3821,44.26,59,75,8.99,broken clouds
165,lagoa,PT,39.05,-27.9833,58.82,67,6,12.86,clear sky
166,bakhmach,UA,51.1808,32.7569,69.03,81,88,5.59,overcast clouds
167,esperance,AU,-33.8667,121.9,55.24,48,100,17.47,overcast clouds
168,saint anthony,US,45.0205,-93.218,46.92,91,90,3.0,moderate rain
169,aquiraz,BR,-3.9014,-38.3911,88.21,52,30,14.03,scattered clouds
170,baykit,RU,61.67,96.37,45.72,49,100,10.69,overcast clouds
171,tuatapere,NZ,-46.1333,167.6833,49.82,96,100,3.47,light rain
172,constitucion,CL,-35.3333,-72.4167,59.7,84,100,0.74,light rain
173,johi,PK,26.6921,67.6133,107.37,11,6,7.09,clear sky
174,mizdah,LY,31.4451,12.9801,98.56,11,56,9.24,broken clouds
175,vestmannaeyjar,IS,63.4427,-20.2734,47.39,71,40,36.82,scattered clouds
176,bontang,ID,0.1333,117.5,82.56,79,7,5.46,clear sky
177,anloga,GH,5.7947,0.8973,89.82,73,100,13.65,overcast clouds
178,la fria,VE,8.2203,-72.2439,84.31,75,92,3.06,overcast clouds
179,georgetown,MY,5.4112,100.3354,82.89,84,20,5.01,light rain
180,nhulunbuy,AU,-12.2333,136.7667,77.61,65,75,13.8,broken clouds
181,yenagoa,NG,4.9247,6.2642,82.63,79,99,4.36,overcast clouds
182,ati,TD,13.2154,18.3353,103.55,14,11,5.97,few clouds
183,hithadhoo,MV,-0.6,73.0833,83.93,74,76,17.43,broken clouds
184,mayo,US,38.8876,-76.5119,81.07,68,1,8.01,clear sky
185,ribeira grande,PT,38.5167,-28.7,66.6,55,40,13.8,scattered clouds
186,guerrero negro,MX,27.9769,-114.0611,62.29,77,100,17.29,overcast clouds
187,weyburn,CA,49.6668,-103.8511,46.18,70,0,16.11,clear sky
188,cururupu,BR,-1.8283,-44.8683,90.14,49,72,7.25,broken clouds
189,yangshan,CN,28.7615,115.0287,68.7,92,100,2.77,light rain
190,sandpoint,US,48.2766,-116.5533,55.72,81,1,9.22,clear sky
191,zaraza,VE,9.3503,-65.3245,88.21,54,79,6.6,broken clouds
192,tiquicheo,MX,18.8833,-100.7333,87.1,44,99,1.14,overcast clouds
193,alice springs,AU,-23.7,133.8833,42.35,65,17,8.93,few clouds
194,kushiro,JP,42.975,144.3747,48.6,95,100,7.94,overcast clouds
195,yining,CN,29.0361,114.5636,71.74,90,100,3.47,light rain
196,tura,IN,25.5198,90.2201,73.74,93,95,4.12,light rain
197,khani,GE,41.9563,42.9566,65.77,68,8,4.14,clear sky
198,xining,CN,36.6167,101.7667,58.95,45,100,3.27,overcast clouds
199,vanimo,PG,-2.6741,141.3028,79.21,86,100,5.06,overcast clouds
200,sedalia,US,38.7045,-93.2283,69.08,86,90,3.44,moderate rain
201,port hardy,CA,50.6996,-127.4199,48.2,100,90,3.44,light rain
202,jiexiu,CN,37.0244,111.9125,67.8,22,0,3.96,clear sky
203,naze,JP,28.3667,129.4833,68.0,92,100,7.92,light rain
204,horsham,GB,51.064,-0.3272,67.86,26,0,8.52,clear sky
205,kaitangata,NZ,-46.2817,169.8464,47.93,83,100,2.59,overcast clouds
206,sault sainte marie,CA,46.5168,-84.3333,44.89,52,40,0.0,scattered clouds
207,kapoeta,SS,4.7717,33.5903,89.69,34,97,13.4,overcast clouds
208,baft,IR,29.234,56.6057,75.18,15,0,14.58,clear sky
209,santa barbara,US,34.7333,-120.0343,58.33,87,90,1.3,overcast clouds
210,beringovskiy,RU,63.05,179.3167,32.02,98,100,3.53,overcast clouds
211,cayenne,GF,4.9333,-52.3333,80.1,87,75,1.01,broken clouds
212,huarmey,PE,-10.0681,-78.1522,70.21,82,67,6.64,broken clouds
213,jutai,BR,-5.1833,-68.9,87.66,60,17,0.74,few clouds
214,burnie,AU,-41.0667,145.9167,44.94,67,18,12.06,few clouds
215,esna,EG,25.2934,32.554,106.86,6,0,10.31,clear sky
216,kahului,US,20.8947,-156.47,76.84,84,40,6.91,scattered clouds
217,ekibastuz,KZ,51.6667,75.3667,63.48,42,2,20.58,clear sky
218,tromso,NO,69.6496,18.957,45.25,81,75,5.01,broken clouds
219,ust-tsilma,RU,65.441,52.1498,49.26,30,100,6.26,overcast clouds
220,margate,GB,51.3813,1.3862,64.74,79,34,6.02,scattered clouds
221,saldanha,ZA,-33.0117,17.9442,64.45,75,26,10.22,scattered clouds
222,severo-kurilsk,RU,50.6789,156.125,38.52,92,81,6.53,broken clouds
223,pisco,PE,-13.7,-76.2167,63.01,94,90,6.91,overcast clouds
224,biak,ID,-0.9131,122.8766,76.98,85,35,6.08,scattered clouds
225,mazatlan,MX,23.2167,-106.4167,80.91,83,20,1.99,few clouds
226,vilhena,BR,-12.7406,-60.1458,84.42,51,0,6.91,clear sky
227,salalah,OM,17.0151,54.0924,86.09,74,20,11.5,few clouds
228,shizunai,JP,42.3339,142.3669,51.67,94,100,10.89,light rain
229,namatanai,PG,-3.6667,152.4333,79.86,82,100,10.11,overcast clouds
230,pitimbu,BR,-7.4706,-34.8086,82.99,77,52,16.75,broken clouds
231,nikolskoye,RU,59.7035,30.7861,64.29,76,100,1.21,light rain
232,kachug,RU,53.9606,105.8817,38.62,44,32,3.78,scattered clouds
233,abengourou,CI,6.7297,-3.4964,90.68,50,82,7.9,broken clouds
234,torbay,CA,47.6666,-52.7314,60.89,85,75,34.52,broken clouds
235,reconquista,AR,-29.15,-59.65,69.37,48,3,6.24,clear sky
236,charters towers,AU,-20.1,146.2667,60.84,85,4,3.76,clear sky
237,meulaboh,ID,4.1363,96.1285,78.91,84,100,3.4,overcast clouds
238,hermiston,US,45.8404,-119.2895,66.65,57,1,6.91,clear sky
239,ponta delgada,PT,37.7333,-25.6667,65.12,59,20,13.8,few clouds
240,ocosingo,MX,17.0667,-92.25,67.84,64,61,4.09,broken clouds
241,hasaki,JP,35.7333,140.8333,61.29,89,100,6.17,moderate rain
242,farmington,US,36.7281,-108.2187,68.2,28,1,11.5,clear sky
243,havre-saint-pierre,CA,50.2334,-63.5986,48.56,76,75,18.41,broken clouds
244,bitung,ID,1.4451,125.1824,77.85,83,34,7.9,scattered clouds
245,dunedin,NZ,-45.8742,170.5036,43.81,70,86,4.0,overcast clouds
246,key west,US,24.5557,-81.7826,82.99,72,75,6.91,broken clouds
247,vieste,IT,41.8825,16.175,79.3,63,5,8.63,clear sky
248,kapuskasing,CA,49.4169,-82.4331,30.2,80,90,8.05,overcast clouds
249,rosarito,MX,32.3333,-117.0333,60.13,76,17,5.19,few clouds
250,tasiilaq,GL,65.6145,-37.6368,42.96,87,100,16.26,overcast clouds
251,taoudenni,ML,22.6783,-3.9836,108.93,11,82,5.59,broken clouds
252,kapaa,US,22.0752,-159.319,73.72,80,40,9.04,scattered clouds
253,mirabad,AF,30.4362,61.8383,99.39,9,0,21.47,clear sky
254,bubaque,GW,11.2833,-15.8333,78.93,74,39,9.1,scattered clouds
255,itarema,BR,-2.9248,-39.9167,86.67,54,13,14.5,few clouds
256,beauceville,CA,46.2179,-70.7787,48.79,53,0,6.91,clear sky
257,visnes,NO,59.3556,5.2242,62.98,58,0,4.61,clear sky
258,aykhal,RU,66.0,111.5,45.91,70,42,8.37,scattered clouds
259,kununurra,AU,-15.7667,128.7333,78.78,29,99,10.36,overcast clouds
260,kochubey,RU,44.3861,46.5825,74.17,57,98,8.03,overcast clouds
261,severodvinsk,RU,64.5635,39.8302,41.11,93,100,7.38,overcast clouds
262,fort-shevchenko,KZ,44.5086,50.263,66.65,80,40,10.67,scattered clouds
263,chardara,KZ,41.2547,67.9692,87.15,25,93,7.83,overcast clouds
264,sao raimundo das mangabeiras,BR,-7.0219,-45.4811,90.43,35,18,8.59,few clouds
265,tayga,RU,56.06,85.6197,58.12,65,3,12.82,clear sky
266,lata,PT,40.1629,-8.3327,85.71,48,100,8.81,overcast clouds
267,hofn,IS,64.2539,-15.2082,43.72,71,16,10.98,few clouds
268,san juan,AR,-31.5375,-68.5364,71.73,20,0,5.7,clear sky
269,genhe,CN,50.7833,121.5167,38.55,95,73,2.89,broken clouds
270,watsa,CD,3.0372,29.5355,74.35,88,97,0.96,light rain
271,aklavik,CA,68.2191,-135.0107,27.43,80,90,6.91,overcast clouds
272,lamar,US,33.6668,-95.5836,80.98,80,75,13.56,broken clouds
273,camocim,BR,-2.9022,-40.8411,87.85,51,16,9.6,few clouds
274,tezu,IN,27.9167,96.1667,74.16,97,83,2.28,broken clouds
275,siverek,TR,37.755,39.3167,92.01,12,0,10.89,clear sky
276,ayan,RU,56.45,138.1667,35.49,84,40,1.07,scattered clouds
277,ramsar,IR,36.9226,50.6426,72.84,78,40,4.61,scattered clouds
278,bandarbeyla,SO,9.4942,50.8122,80.29,76,50,25.19,scattered clouds
279,syracuse,IT,37.0881,15.2792,82.44,63,1,15.43,clear sky
280,baruun-urt,MN,46.6806,113.2792,45.97,59,32,6.98,scattered clouds
281,maniitsoq,GL,65.4167,-52.9,35.13,91,66,5.48,broken clouds
282,grand-santi,GF,4.25,-54.3833,76.46,98,100,2.66,light rain
283,flin flon,CA,54.7682,-101.865,44.44,49,20,11.05,few clouds
284,the valley,AI,18.217,-63.0578,85.86,72,2,10.54,clear sky
285,whitehorse,CA,60.7161,-135.0538,38.17,86,40,11.01,scattered clouds
286,axim,GH,4.8699,-2.2405,85.71,67,70,9.71,broken clouds
287,springbok,ZA,-29.6643,17.8865,63.84,38,58,11.99,broken clouds
288,bonavista,CA,48.6499,-53.1147,57.2,93,100,16.89,overcast clouds
289,luganville,VU,-15.5333,167.1667,71.49,67,72,0.4,broken clouds
290,valparaiso,CL,-33.0393,-71.6273,62.83,77,0,5.75,clear sky
291,novokorsunskaya,RU,45.6408,39.1464,79.02,74,64,6.71,broken clouds
292,sabang,ID,5.8933,95.3214,85.21,72,100,15.75,overcast clouds
293,crown point,US,41.417,-87.3653,62.73,69,56,10.11,broken clouds
294,marsa matruh,EG,31.3525,27.2453,79.0,61,0,14.97,clear sky
295,butte,US,39.6499,-121.5677,72.99,58,1,1.63,clear sky
296,dingle,PH,10.9995,122.6711,79.92,83,35,4.32,light rain
297,lorengau,PG,-2.0226,147.2712,77.67,87,100,5.73,overcast clouds
298,port blair,IN,11.6667,92.75,82.6,83,100,8.55,overcast clouds
299,los llanos de aridane,ES,28.6585,-17.9182,67.75,79,75,11.95,broken clouds
300,skjervoy,NO,70.0311,20.9714,46.4,83,43,41.16,scattered clouds
301,fort nelson,CA,58.8053,-122.7002,36.99,100,40,5.75,scattered clouds
302,inirida,CO,3.8653,-67.9239,73.0,99,100,2.82,overcast clouds
303,znamenka,RU,52.4167,41.4311,70.02,67,96,4.23,overcast clouds
304,imbituba,BR,-28.24,-48.6703,67.89,39,0,3.18,clear sky
305,portland,US,45.5234,-122.6762,53.6,93,90,3.0,overcast clouds
306,shellbrook,CA,53.2168,-106.4011,47.43,50,72,15.64,broken clouds
307,camopi,GF,3.1655,-52.3158,72.93,99,100,3.13,overcast clouds
308,luderitz,NA,-26.6481,15.1594,68.18,53,39,7.52,scattered clouds
309,fare,PF,-16.7,-151.0167,80.02,72,1,6.06,clear sky
310,salinopolis,BR,-0.6136,-47.3561,86.04,63,57,6.17,broken clouds
311,tsumeb,NA,-19.2333,17.7167,78.35,18,0,7.78,clear sky
312,ostrovnoy,RU,68.0531,39.5131,47.12,39,100,16.08,overcast clouds
313,port hueneme,US,34.1478,-119.1951,65.48,85,90,3.44,overcast clouds
314,muisne,EC,0.6,-80.0333,78.51,85,95,11.01,light rain
315,smithers,CA,54.7804,-127.1743,43.12,93,90,0.0,overcast clouds
316,lompoc,US,34.6391,-120.4579,59.09,93,90,3.44,overcast clouds
317,hirara,JP,24.8,125.2833,82.56,85,79,10.54,broken clouds
318,san felipe,VE,10.3399,-68.7425,85.44,61,86,2.59,overcast clouds
319,cidreira,BR,-30.1811,-50.2056,66.94,49,2,12.24,clear sky
