City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,cesvaine,LV,56.9667,26.3167,60.48,53,68,4.63,broken clouds
155,palu,ID,-0.8917,119.8707,79.21,89,14,0.89,few clouds
156,vanavara,RU,60.34,102.2797,58.96,28,100,10.22,overcast clouds
157,chicama,PE,-7.8447,-79.1469,67.06,92,80,3.29,broken clouds
158,molchanovo,RU,57.5817,83.7692,53.46,31,98,13.76,overcast clouds
159,new norfolk,AU,-42.7826,147.0587,45.9,68,50,1.01,scattered clouds
160,tura,IN,25.5198,90.2201,86.45,62,39,5.19,scattered clouds
161,karasjok,NO,69.4719,25.5112,39.31,77,98,18.84,overcast clouds
162,soc trang,VN,9.6033,105.98,87.76,72,93,8.01,overcast clouds
163,sao filipe,CV,14.8961,-24.4956,72.23,79,2,11.88,clear sky
164,matara,LK,5.9485,80.5353,82.56,80,99,16.04,overcast clouds
165,abadiania,BR,-16.2042,-48.7069,63.52,76,82,1.81,broken clouds
166,asfi,MA,32.2994,-9.2372,73.22,57,100,6.85,overcast clouds
167,sundsvall,SE,62.3913,17.3063,62.56,29,3,6.51,clear sky
168,dali,CN,25.7,100.1833,77.59,47,72,8.1,broken clouds
169,opuwo,NA,-18.0607,13.84,77.14,22,0,14.5,clear sky
170,trincomalee,LK,8.5711,81.2335,90.7,56,69,20.4,broken clouds
171,port augusta,AU,-32.5,137.7667,57.34,73,100,9.1,overcast clouds
172,makokou,GA,0.5738,12.8642,79.84,83,57,1.86,moderate rain
173,poum,NC,-20.2333,164.0167,73.38,70,96,15.61,overcast clouds
174,margate,GB,51.3813,1.3862,63.86,75,100,8.19,overcast clouds
175,fairbanks,US,64.8378,-147.7164,43.14,53,90,12.66,overcast clouds
176,kavaratti,IN,10.5669,72.642,83.84,75,13,18.07,few clouds
177,kapit,MY,2.0167,112.9333,79.09,97,40,0.98,moderate rain
178,sokoni,TZ,-6.4333,39.55,84.49,67,23,17.13,few clouds
179,raychikhinsk,RU,49.7838,129.4121,58.23,68,75,4.32,broken clouds
180,la primavera,CO,5.4906,-70.4092,69.94,97,47,3.98,scattered clouds
181,marzuq,YE,14.4,46.4667,91.78,16,51,14.23,broken clouds
182,kodiak,US,57.79,-152.4072,49.51,81,90,0.0,overcast clouds
183,sulphur,US,30.2366,-93.3774,76.98,91,40,4.14,scattered clouds
184,west wendover,US,40.7391,-114.0733,69.01,18,1,10.36,clear sky
185,boa vista,BR,2.8197,-60.6733,76.98,83,90,5.75,overcast clouds
186,bathsheba,BB,13.2167,-59.5167,79.41,61,20,14.7,few clouds
187,lakes entrance,AU,-37.8811,147.981,47.57,61,37,5.59,scattered clouds
188,georgetown,MY,5.4112,100.3354,87.75,74,20,6.91,few clouds
189,guerrero negro,MX,27.9769,-114.0611,57.15,85,0,15.48,clear sky
190,saint-francois,FR,46.4154,3.9054,69.67,48,0,6.91,clear sky
191,north platte,US,41.1239,-100.7654,46.29,83,90,3.0,overcast clouds
